Distance (A) | State | Partition | DI | Pop(Li) | Pop(H)
----------------------------------------------------------------------
        0.60 | GS    | Mulliken     | -30.198095 | 8.511259 | -4.511259
        0.60 | GS    | Lowdin       | 1.391911+0.000000j | 2.436250+0.000000j | 1.563750-0.000000j
        0.60 | GS    | Meta-Lowdin  | 0.688382 | 2.531759 | 1.468241
        0.60 | GS    | IAO          | 0.464848 | 2.327594 | 1.454802
        0.60 | GS    | PEIAO        | 0.065199 | 0.936650 | 0.092901
        0.60 | GS    | FPIAO(1.0)   | 0.465317 | 2.335285 | 1.459382
        0.60 | GS    | FPIAO(1.5)   | 0.467798 | 2.340236 | 1.457489
        0.60 | GS    | FPIAO(2.0)   | 0.470327 | 2.344189 | 1.455686
        0.80 | GS    | Mulliken     | -4.427852 | 5.260460 | -1.260460
        0.80 | GS    | Lowdin       | 1.218375 | 2.506392 | 1.493608
        0.80 | GS    | Meta-Lowdin  | 0.593384 | 2.420528 | 1.579472
        0.80 | GS    | IAO          | 0.425567 | 2.278720 | 1.585478
        0.80 | GS    | PEIAO        | 0.023106 | 0.908893 | 0.055193
        0.80 | GS    | FPIAO(1.0)   | 0.431158 | 2.288550 | 1.587387
        0.80 | GS    | FPIAO(1.5)   | 0.437257 | 2.295412 | 1.584347
        0.80 | GS    | FPIAO(2.0)   | 0.442205 | 2.300648 | 1.581795
        1.00 | GS    | Mulliken     | -0.036675 | 3.945719 | 0.054281
        1.00 | GS    | Lowdin       | 1.108325 | 2.570552 | 1.429448
        1.00 | GS    | Meta-Lowdin  | 0.589436 | 2.410790 | 1.589210
        1.00 | GS    | IAO          | 0.460674 | 2.300021 | 1.603508
        1.00 | GS    | PEIAO        | 0.007405 | 0.910506 | 0.036612
        1.00 | GS    | FPIAO(1.0)   | 0.474496 | 2.315389 | 1.601166
        1.00 | GS    | FPIAO(1.5)   | 0.482766 | 2.323307 | 1.597803
        1.00 | GS    | FPIAO(2.0)   | 0.488351 | 2.328582 | 1.595354
        1.20 | GS    | Mulliken     | 0.802299 | 3.351024 | 0.648976
        1.20 | GS    | Lowdin       | 1.060094 | 2.611269 | 1.388731
        1.20 | GS    | Meta-Lowdin  | 0.618533 | 2.434514 | 1.565486
        1.20 | GS    | IAO          | 0.507560 | 2.336506 | 1.577377
        1.20 | GS    | PEIAO        | 0.001120 | 0.894897 | 0.021222
        1.20 | GS    | FPIAO(1.0)   | 0.530853 | 2.359494 | 1.568478
        1.20 | GS    | FPIAO(1.5)   | 0.539395 | 2.367295 | 1.565314
        1.20 | GS    | FPIAO(2.0)   | 0.543645 | 2.371259 | 1.563687
        1.40 | GS    | Mulliken     | 0.952177 | 3.038057 | 0.961943
        1.40 | GS    | Lowdin       | 1.031806 | 2.639800 | 1.360200
        1.40 | GS    | Meta-Lowdin  | 0.652016 | 2.467725 | 1.532275
        1.40 | GS    | IAO          | 0.548326 | 2.374491 | 1.538202
        1.40 | GS    | PEIAO        | 0.000386 | 0.852107 | 0.008938
        1.40 | GS    | FPIAO(1.0)   | 0.581649 | 2.406962 | 1.519568
        1.40 | GS    | FPIAO(1.5)   | 0.588690 | 2.413398 | 1.516983
        1.40 | GS    | FPIAO(2.0)   | 0.590308 | 2.414999 | 1.516769
        1.60 | GS    | Mulliken     | 0.941546 | 2.863086 | 1.136914
        1.60 | GS    | Lowdin       | 1.000697 | 2.663463 | 1.336537
        1.60 | GS    | Meta-Lowdin  | 0.678755 | 2.501015 | 1.498985
        1.60 | GS    | IAO          | 0.577969 | 2.409235 | 1.498674
        1.60 | GS    | PEIAO        | 0.003835 | 0.782055 | 0.005994
        1.60 | GS    | FPIAO(1.0)   | 0.620845 | 2.452312 | 1.467782
        1.60 | GS    | FPIAO(1.5)   | 0.624944 | 2.456122 | 1.466502
        1.60 | GS    | FPIAO(2.0)   | 0.623380 | 2.454672 | 1.468380
        1.80 | GS    | Mulliken     | 0.892673 | 2.761746 | 1.238254
        1.80 | GS    | Lowdin       | 0.962486+0.000000j | 2.682954+0.000000j | 1.317046+0.000000j
        1.80 | GS    | Meta-Lowdin  | 0.695595 | 2.531326 | 1.468674
        1.80 | GS    | IAO          | 0.596347 | 2.439756 | 1.462697
        1.80 | GS    | PEIAO        | 0.004607 | 0.692613 | 0.007807
        1.80 | GS    | FPIAO(1.0)   | 0.647026 | 2.493111 | 1.419089
        1.80 | GS    | FPIAO(1.5)   | 0.647193 | 2.493094 | 1.420369
        1.80 | GS    | FPIAO(2.0)   | 0.642461 | 2.488269 | 1.425005
        2.00 | GS    | Mulliken     | 0.830816 | 2.689747 | 1.310253
        2.00 | GS    | Lowdin       | 0.918925 | 2.695973 | 1.304027
        2.00 | GS    | Meta-Lowdin  | 0.702256 | 2.558193 | 1.441807
        2.00 | GS    | IAO          | 0.604873 | 2.466856 | 1.430369
        2.00 | GS    | PEIAO        | 0.001161 | 0.584427 | 0.005207
        2.00 | GS    | FPIAO(1.0)   | 0.660492 | 2.528433 | 1.376154
        2.00 | GS    | FPIAO(1.5)   | 0.656353 | 2.523731 | 1.381289
        2.00 | GS    | FPIAO(2.0)   | 0.648906 | 2.515659 | 1.388948
        2.20 | GS    | Mulliken     | 0.770211 | 2.637981 | 1.362019
        2.20 | GS    | Lowdin       | 0.872782 | 2.701369 | 1.298631
        2.20 | GS    | Meta-Lowdin  | 0.699550 | 2.582698 | 1.417302
        2.20 | GS    | IAO          | 0.605449 | 2.492804 | 1.400330
        2.20 | GS    | PEIAO        | 0.000355 | 0.436926 | 0.004286
        2.20 | GS    | FPIAO(1.0)   | 0.662562 | 2.559229 | 1.339513
        2.20 | GS    | FPIAO(1.5)   | 0.654479 | 2.549720 | 1.349038
        2.20 | GS    | FPIAO(2.0)   | 0.645127 | 2.539044 | 1.359293
        2.40 | GS    | Mulliken     | 0.722066 | 2.612787 | 1.387213
        2.40 | GS    | Lowdin       | 0.826113 | 2.701851 | 1.298149
        2.40 | GS    | Meta-Lowdin  | 0.688482 | 2.607125 | 1.392875
        2.40 | GS    | IAO          | 0.599518 | 2.520394 | 1.370679
        2.40 | GS    | PEIAO        | 0.002506 | 0.241682 | 0.013674
        2.40 | GS    | FPIAO(1.0)   | 0.654781 | 2.587858 | 1.307823
        2.40 | GS    | FPIAO(1.5)   | 0.643701 | 2.574227 | 1.321263
        2.40 | GS    | FPIAO(2.0)   | 0.633410 | 2.561926 | 1.333175
        2.60 | GS    | Mulliken     | 0.684271 | 2.610906 | 1.389094
        2.60 | GS    | Lowdin       | 0.778879 | 2.702235 | 1.297765
        2.60 | GS    | Meta-Lowdin  | 0.669163 | 2.634145 | 1.365855
        2.60 | GS    | IAO          | 0.587406 | 2.552428 | 1.339343
        2.60 | GS    | PEIAO        | 0.002036 | 0.108665 | 0.026083
        2.60 | GS    | FPIAO(1.0)   | 0.638015 | 2.617407 | 1.278559
        2.60 | GS    | FPIAO(1.5)   | 0.625170 | 2.600874 | 1.294748
        2.60 | GS    | FPIAO(2.0)   | 0.614866 | 2.587992 | 1.307239
        2.80 | GS    | Mulliken     | 0.649155 | 2.626746 | 1.373254
        2.80 | GS    | Lowdin       | 0.729093 | 2.707491 | 1.292509
        2.80 | GS    | Meta-Lowdin  | 0.640309 | 2.666194 | 1.333806
        2.80 | GS    | IAO          | 0.567963 | 2.591511 | 1.304460
        2.80 | GS    | PEIAO        | 0.001266 | 0.073982 | 0.036877
        2.80 | GS    | FPIAO(1.0)   | 0.611876 | 2.651145 | 1.248929
        2.80 | GS    | FPIAO(1.5)   | 0.598530 | 2.633133 | 1.266440
        2.80 | GS    | FPIAO(2.0)   | 0.588991 | 2.620607 | 1.278534
        3.00 | GS    | Mulliken     | 0.608982 | 2.656910 | 1.343090
        3.00 | GS    | Lowdin       | 0.673388 | 2.721704 | 1.278296
        3.00 | GS    | Meta-Lowdin  | 0.599138 | 2.704959 | 1.295041
        3.00 | GS    | IAO          | 0.538243 | 2.639466 | 1.264840
        3.00 | GS    | PEIAO        | 0.001058 | 0.071403 | 0.047615
        3.00 | GS    | FPIAO(1.0)   | 0.574341 | 2.691698 | 1.216680
        3.00 | GS    | FPIAO(1.5)   | 0.561593 | 2.673598 | 1.234127
